Metric,Value
Scenario,BadDispose
TotalSimulatedTimeMs,5861
CompletedJobs,10
CrashedJobs,40
AverageCycleTimeMs,5529,7
ThroughputPerSecond,1,7062
AverageWip,9,4347
PageFaults,100
MemoryCrashes,40
BottleneckMachineId,1
BottleneckUtilization,0,1044

MachineId,Utilization
1,0,1044
2,0,0208
3,0,0217
4,0,0234
5,0,0174
6,0,0191
7,0,0208
8,0,0217
9,0,0234
10,0,0174
11,0,0191
12,0,0208
13,0,0217
14,0,0234
15,0,0174
16,0,0191
17,0,0208
18,0,0217
19,0,0234
20,0,0174
21,0,0191
22,0,0208
23,0,0217
24,0,0234
25,0,0174
26,0,0191
27,0,0208
28,0,0217
29,0,0234
30,0,0174
31,0,0191
32,0,0208
33,0,0217
34,0,0234
35,0,0174
36,0,0191
37,0,0208
38,0,0217
39,0,0234
40,0,0174
41,0,0191
42,0,0208
43,0,0217
44,0,0234
45,0,0174
46,0,0191
47,0,0208
48,0,0217
49,0,0234
50,0,0174
51,0,0191
52,0,0208
53,0,0217
54,0,0234
55,0,0174
56,0,0191
57,0,0208
58,0,0217
59,0,0234
60,0,0174
61,0,0191
62,0,0208
63,0,0217
64,0,0234
65,0,0174
66,0,0191
67,0,0208
68,0,0217
69,0,0234
70,0,0174
71,0,0191
72,0,0208
73,0,0217
74,0,0234
75,0,0174
76,0,0191
77,0,0208
78,0,0217
79,0,0234
80,0,0174
81,0,0191
82,0,0208
83,0,0217
84,0,0234
85,0,0174
86,0,0191
87,0,0208
88,0,0217
89,0,0234
90,0,0174
91,0,0191
92,0,0208
93,0,0217
94,0,0234
95,0,0174
96,0,0191
97,0,0208
98,0,0217
99,0,0234
100,0,0174
101,0,0191
102,0,0208
103,0,0217
104,0,0234
105,0,0174
106,0,0191
107,0,0208
108,0,0217
109,0,0234
110,0,0174
111,0,0191
112,0,0208
113,0,0217
114,0,0234
115,0,0174
116,0,0191
117,0,0208
118,0,0217
119,0,0234
120,0,0174
121,0,0191
122,0,0208
123,0,0217
124,0,0234
125,0,0174
126,0,0191
127,0,0208
128,0,0217
129,0,0234
130,0,0174
131,0,0191
132,0,0208
133,0,0217
134,0,0234
135,0,0174
136,0,0191
137,0,0208
138,0,0217
139,0,0234
140,0,0174
141,0,0191
142,0,0208
143,0,0217
144,0,0234
145,0,0174
146,0,0191
147,0,0208
148,0,0217
149,0,0234
150,0,0174
151,0,0191
152,0,0208
153,0,0217
154,0,0234
155,0,0174
156,0,0191
157,0,0208
158,0,0217
159,0,0234
160,0,0174
161,0,0191
162,0,0208
163,0,0217
164,0,0234
165,0,0174
166,0,0191
167,0,0208
168,0,0217
169,0,0234
170,0,0174
171,0,0191
172,0,0208
173,0,0217
174,0,0234
175,0,0174
176,0,0191
177,0,0208
178,0,0217
179,0,0234
180,0,0174
181,0,0191
182,0,0208
183,0,0217
184,0,0234
185,0,0174
186,0,0191
187,0,0208
188,0,0217
189,0,0234
190,0,0174
191,0,0191
192,0,0208
193,0,0217
194,0,0234
195,0,0174
196,0,0191
197,0,0208
198,0,0217
199,0,0234
200,0,0174
201,0,0191
202,0,0208
203,0,0217
204,0,0234
205,0,0174
206,0,0191
207,0,0208
208,0,0217
209,0,0234
210,0,0174
211,0,0191
212,0,0208
213,0,0217
214,0,0234
215,0,0174
216,0,0191
217,0,0208
218,0,0217
219,0,0234
220,0,0174
221,0,0191
222,0,0208
223,0,0217
224,0,0234
225,0,0174
226,0,0191
227,0,0208
228,0,0217
229,0,0234
230,0,0174
231,0,0191
232,0,0208
233,0,0217
234,0,0234
235,0,0174
236,0,0191
237,0,0208
238,0,0217
239,0,0234
240,0,0174
241,0,0191
242,0,0208
243,0,0217
244,0,0234
245,0,0174
246,0,0191
247,0,0208
248,0,0217
249,0,0234
250,0,0174
251,0,0191
252,0,0208
253,0,0217
254,0,0234
255,0,0174
256,0,0191
257,0,0208
258,0,0217
259,0,0234
260,0,0174
261,0,0191
262,0,0208
263,0,0217
264,0,0234
265,0,0174
266,0,0191
267,0,0208
268,0,0217
269,0,0234
270,0,0174
271,0,0191
272,0,0208
273,0,0217
274,0,0234
275,0,0174
276,0,0191
277,0,0208
278,0,0217
279,0,0234
280,0,0174
281,0,0191
282,0,0208
283,0,0217
284,0,0234
285,0,0174
286,0,0191
287,0,0208
288,0,0217
289,0,0234
290,0,0174
291,0,0191
292,0,0208
293,0,0217
294,0,0234
295,0,0174
296,0,0191
297,0,0208
298,0,0217
299,0,0234
300,0,0174
301,0,0191
302,0,0208
303,0,0217
304,0,0234
305,0,0174
306,0,0191
307,0,0208
308,0,0217
309,0,0234
310,0,0174
311,0,0191
312,0,0208
313,0,0217
314,0,0234
315,0,0174
316,0,0191
317,0,0208
318,0,0217
319,0,0234
320,0,0174
321,0,0191
322,0,0208
323,0,0217
324,0,0234
325,0,0174
326,0,0191
327,0,0208
328,0,0217
329,0,0234
330,0,0174
331,0,0191
332,0,0208
333,0,0217
334,0,0234
335,0,0174
336,0,0191
337,0,0208
338,0,0217
339,0,0234
340,0,0174
341,0,0191
342,0,0208
343,0,0217
344,0,0234
345,0,0174
346,0,0191
347,0,0208
348,0,0217
349,0,0234
350,0,0174
351,0,0191
352,0,0208
353,0,0217
354,0,0234
355,0,0174
356,0,0191
357,0,0208
358,0,0217
359,0,0234
