Metric,Value
Scenario,MemoryLimited
TotalSimulatedTimeMs,573126
CompletedJobs,50
CrashedJobs,0
AverageCycleTimeMs,555150,74
ThroughputPerSecond,0,0872
AverageWip,48,4318
PageFaults,217199
MemoryCrashes,0
BottleneckMachineId,19
BottleneckUtilization,0,0224

MachineId,Utilization
1,0,0221
2,0,0213
3,0,0217
4,0,0215
5,0,0211
6,0,0212
7,0,0213
8,0,0214
9,0,0215
10,0,0211
11,0,0212
12,0,0213
13,0,0214
14,0,0215
15,0,022
16,0,0221
17,0,0222
18,0,0223
19,0,0224
20,0,022
21,0,0221
22,0,0222
23,0,0223
24,0,0224
25,0,022
26,0,0221
27,0,0222
28,0,0223
29,0,0224
30,0,022
31,0,0221
32,0,0222
33,0,0223
34,0,0224
35,0,022
36,0,0221
37,0,0222
38,0,0223
39,0,0224
40,0,022
41,0,0221
42,0,0222
43,0,0223
44,0,0224
45,0,022
46,0,0221
47,0,0222
48,0,0223
49,0,0224
50,0,022
51,0,0221
52,0,0222
53,0,0223
54,0,0224
55,0,022
56,0,0221
57,0,0222
58,0,0223
59,0,0224
60,0,022
61,0,0221
62,0,0222
63,0,0223
64,0,0224
65,0,022
66,0,0221
67,0,0222
68,0,0223
69,0,0224
70,0,022
71,0,0221
72,0,0222
73,0,0223
74,0,0224
75,0,022
76,0,0221
77,0,0222
78,0,0223
79,0,0224
80,0,022
81,0,0221
82,0,0222
83,0,0223
84,0,0224
85,0,022
86,0,0221
87,0,0222
88,0,0223
89,0,0224
90,0,022
91,0,0221
92,0,0222
93,0,0223
94,0,0224
95,0,022
96,0,0221
97,0,0222
98,0,0223
99,0,0224
100,0,022
101,0,0221
102,0,0222
103,0,0223
104,0,0224
105,0,022
106,0,0221
107,0,0222
108,0,0223
109,0,0224
110,0,022
111,0,0221
112,0,0222
113,0,0223
114,0,0224
115,0,022
116,0,0221
117,0,0222
118,0,0223
119,0,0224
120,0,022
121,0,0221
122,0,0222
123,0,0223
124,0,0224
125,0,022
126,0,0221
127,0,0222
128,0,0223
129,0,0224
130,0,022
131,0,0221
132,0,0222
133,0,0223
134,0,0224
135,0,022
136,0,0221
137,0,0222
138,0,0223
139,0,0224
140,0,022
141,0,0221
142,0,0222
143,0,0223
144,0,0224
145,0,022
146,0,0221
147,0,0222
148,0,0223
149,0,0224
150,0,022
151,0,0221
152,0,0222
153,0,0223
154,0,0224
155,0,022
156,0,0221
157,0,0222
158,0,0223
159,0,0224
160,0,022
161,0,0221
162,0,0222
163,0,0223
164,0,0224
165,0,022
166,0,0221
167,0,0222
168,0,0223
169,0,0224
170,0,022
171,0,0221
172,0,0222
173,0,0223
174,0,0224
175,0,022
176,0,0221
177,0,0222
178,0,0223
179,0,0224
180,0,022
181,0,0221
182,0,0222
183,0,0223
184,0,0224
185,0,022
186,0,0221
187,0,0222
188,0,0223
189,0,0224
190,0,022
191,0,0221
192,0,0222
193,0,0223
194,0,0224
195,0,022
196,0,0221
197,0,0222
198,0,0223
199,0,0224
200,0,022
201,0,0221
202,0,0222
203,0,0223
204,0,0224
205,0,022
206,0,0221
207,0,0222
208,0,0223
209,0,0224
210,0,022
211,0,0221
212,0,0222
213,0,0223
214,0,0224
215,0,022
216,0,0221
217,0,0222
218,0,0223
219,0,0224
220,0,022
221,0,0221
222,0,0222
223,0,0223
224,0,0224
225,0,022
226,0,0221
227,0,0222
228,0,0223
229,0,0224
230,0,022
231,0,0221
232,0,0222
233,0,0223
234,0,0224
235,0,022
236,0,0221
237,0,0222
238,0,0223
239,0,0224
240,0,022
241,0,0221
242,0,0222
243,0,0223
244,0,0224
245,0,022
246,0,0221
247,0,0222
248,0,0223
249,0,0224
250,0,022
251,0,0221
252,0,0222
253,0,0223
254,0,0224
255,0,022
256,0,0221
257,0,0222
258,0,0223
259,0,0224
260,0,022
261,0,0221
262,0,0222
263,0,0223
264,0,0224
265,0,022
266,0,0221
267,0,0222
268,0,0223
269,0,0224
270,0,022
271,0,0221
272,0,0222
273,0,0223
274,0,0224
275,0,022
276,0,0221
277,0,0222
278,0,0223
279,0,0224
280,0,022
281,0,0221
282,0,0222
283,0,0223
284,0,0224
285,0,022
286,0,0221
287,0,0222
288,0,0223
289,0,0224
290,0,022
291,0,0221
292,0,0222
293,0,0223
294,0,0224
295,0,022
296,0,0221
297,0,0222
298,0,0223
299,0,0224
300,0,022
301,0,0221
302,0,0222
303,0,0223
304,0,0224
305,0,022
306,0,0221
307,0,0222
308,0,0223
309,0,0224
310,0,022
311,0,0221
312,0,0222
313,0,0223
314,0,0224
315,0,022
316,0,0221
317,0,0222
318,0,0223
319,0,0224
320,0,022
321,0,0221
322,0,0222
323,0,0223
324,0,0224
325,0,022
326,0,0221
327,0,0222
328,0,0223
329,0,0224
330,0,022
331,0,0221
332,0,0222
333,0,0223
334,0,0224
335,0,022
336,0,0221
337,0,0222
338,0,0223
339,0,0224
340,0,022
341,0,0221
342,0,0222
343,0,0223
344,0,0224
345,0,022
346,0,0221
347,0,0222
348,0,0223
349,0,0224
350,0,022
351,0,0221
352,0,0222
353,0,0223
354,0,0224
355,0,022
356,0,0221
357,0,0222
358,0,022
359,0,0214
