Metric,Value
Scenario,Normal
TotalSimulatedTimeMs,153837
CompletedJobs,50
CrashedJobs,0
AverageCycleTimeMs,145689,84
ThroughputPerSecond,0,325
AverageWip,47,352
PageFaults,202558
MemoryCrashes,0
BottleneckMachineId,89
BottleneckUtilization,0,0242

MachineId,Utilization
1,0,0233
2,0,0132
3,0,0152
4,0,0151
5,0,0142
6,0,0152
7,0,0158
8,0,0159
9,0,0164
10,0,0151
11,0,0157
12,0,0159
13,0,0166
14,0,0166
15,0,0157
16,0,0167
17,0,0163
18,0,0178
19,0,0173
20,0,0169
21,0,0163
22,0,0176
23,0,0183
24,0,0183
25,0,0173
26,0,0176
27,0,0179
28,0,0183
29,0,0195
30,0,0177
31,0,0185
32,0,0184
33,0,0195
34,0,0198
35,0,0191
36,0,0188
37,0,0197
38,0,0195
39,0,0204
40,0,0192
41,0,0194
42,0,0199
43,0,0202
44,0,0207
45,0,0194
46,0,0194
47,0,0203
48,0,0203
49,0,021
50,0,0199
51,0,0202
52,0,0208
53,0,0206
54,0,0216
55,0,0203
56,0,0213
57,0,021
58,0,022
59,0,0216
60,0,021
61,0,0213
62,0,0216
63,0,022
64,0,0223
65,0,0211
66,0,0213
67,0,0216
68,0,0222
69,0,0224
70,0,021
71,0,0217
72,0,0218
73,0,022
74,0,0233
75,0,0213
76,0,0217
77,0,0226
78,0,0225
79,0,0233
80,0,0215
81,0,0225
82,0,023
83,0,0231
84,0,0234
85,0,0227
86,0,0227
87,0,0228
88,0,0231
89,0,0242
90,0,0221
91,0,0233
92,0,0236
93,0,0239
94,0,0242
95,0,0229
96,0,0233
97,0,0236
98,0,0239
99,0,0242
100,0,0229
101,0,0233
102,0,0236
103,0,0239
104,0,0242
105,0,0229
106,0,0233
107,0,0236
108,0,0239
109,0,0242
110,0,0229
111,0,0233
112,0,0236
113,0,0239
114,0,0242
115,0,0229
116,0,0233
117,0,0236
118,0,0239
119,0,0242
120,0,0229
121,0,0233
122,0,0236
123,0,0239
124,0,0242
125,0,0229
126,0,0233
127,0,0236
128,0,0239
129,0,0242
130,0,0229
131,0,0233
132,0,0236
133,0,0239
134,0,0242
135,0,0229
136,0,0233
137,0,0236
138,0,0239
139,0,0242
140,0,0229
141,0,0233
142,0,0236
143,0,0239
144,0,0242
145,0,0229
146,0,0233
147,0,0236
148,0,0239
149,0,0242
150,0,0229
151,0,0233
152,0,0236
153,0,0239
154,0,0242
155,0,0229
156,0,0233
157,0,0236
158,0,0239
159,0,0242
160,0,0229
161,0,0233
162,0,0236
163,0,0239
164,0,0242
165,0,0229
166,0,0233
167,0,0236
168,0,0239
169,0,0242
170,0,0229
171,0,0233
172,0,0236
173,0,0239
174,0,0242
175,0,0229
176,0,0233
177,0,0236
178,0,0239
179,0,0242
180,0,0229
181,0,0233
182,0,0236
183,0,0239
184,0,0242
185,0,0229
186,0,0233
187,0,0236
188,0,0239
189,0,0242
190,0,0229
191,0,0233
192,0,0236
193,0,0239
194,0,0242
195,0,0229
196,0,0233
197,0,0236
198,0,0239
199,0,0242
200,0,0229
201,0,0233
202,0,0236
203,0,0239
204,0,0242
205,0,0229
206,0,0233
207,0,0236
208,0,0239
209,0,0242
210,0,0229
211,0,0233
212,0,0236
213,0,0239
214,0,0242
215,0,0229
216,0,0233
217,0,0236
218,0,0239
219,0,0242
220,0,0229
221,0,0233
222,0,0236
223,0,0239
224,0,0242
225,0,0229
226,0,0233
227,0,0236
228,0,0239
229,0,0242
230,0,0229
231,0,0233
232,0,0236
233,0,0239
234,0,0242
235,0,0229
236,0,0233
237,0,0236
238,0,0239
239,0,0242
240,0,0229
241,0,0233
242,0,0236
243,0,0239
244,0,0242
245,0,0229
246,0,0233
247,0,0236
248,0,0239
249,0,0242
250,0,0229
251,0,0233
252,0,0236
253,0,0239
254,0,0242
255,0,0229
256,0,0233
257,0,0236
258,0,0239
259,0,0242
260,0,0229
261,0,0233
262,0,0236
263,0,0239
264,0,0242
265,0,0229
266,0,0233
267,0,0236
268,0,0239
269,0,0242
270,0,0229
271,0,0233
272,0,0236
273,0,0239
274,0,0242
275,0,0229
276,0,0233
277,0,0236
278,0,0239
279,0,0242
280,0,0229
281,0,0233
282,0,0236
283,0,0239
284,0,0242
285,0,0229
286,0,0233
287,0,0236
288,0,0239
289,0,0242
290,0,0229
291,0,0233
292,0,0236
293,0,0239
294,0,0242
295,0,0229
296,0,0233
297,0,0236
298,0,0239
299,0,0242
300,0,0229
301,0,0233
302,0,0236
303,0,0239
304,0,0242
305,0,0229
306,0,0233
307,0,0236
308,0,0239
309,0,0242
310,0,0229
311,0,0233
312,0,0236
313,0,0239
314,0,0242
315,0,0229
316,0,0233
317,0,0236
318,0,0239
319,0,0242
320,0,0229
321,0,0233
322,0,0236
323,0,0239
324,0,0242
325,0,0229
326,0,0233
327,0,0236
328,0,0239
329,0,0242
330,0,0229
331,0,0233
332,0,0236
333,0,0239
334,0,024
335,0,0216
336,0,0218
337,0,022
338,0,0218
339,0,0215
340,0,0197
341,0,0199
342,0,0199
343,0,0194
344,0,0186
345,0,0177
346,0,0172
347,0,0166
348,0,0174
349,0,0169
350,0,0156
351,0,0159
352,0,0163
353,0,0166
354,0,0169
355,0,0154
356,0,0157
357,0,0151
358,0,0156
359,0,0157
